Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,133.460800,135.267685,133.154877,133.728485,105.248444,3533074
2019-07-02,133.604202,134.254303,133.336517,134.053543,105.504265,2520546
2019-07-03,134.531555,135.583176,134.254303,135.315491,106.497482,2019198
2019-07-05,134.674957,135.267685,133.757172,135.162521,106.377083,2232896
2019-07-08,134.847031,135.076477,134.101334,134.388138,105.767593,2505484
2019-07-09,134.426392,134.789673,133.011475,133.202682,104.834610,3519999
2019-07-10,133.843216,135.669220,133.642441,134.292542,105.692368,2629539
2019-07-11,134.598465,135.353729,134.130020,135.028687,106.271767,2231013
2019-07-12,135.678772,136.634796,135.430206,136.462708,107.400360,2914365
2019-07-15,136.606125,137.198853,135.869980,137.017212,107.836746,2477242
2019-07-16,136.873810,137.705551,136.730408,137.217972,107.994766,3634536
2019-07-17,137.294449,137.476105,135.707458,136.778198,107.648659,6343258
2019-07-18,136.233276,143.699814,135.946457,143.049713,112.584557,13276460
2019-07-19,143.365204,144.913956,142.973236,143.097519,112.622147,7626072
2019-07-22,143.556412,145.258133,143.116638,143.154877,112.667290,4280860
2019-07-23,143.948380,144.091782,141.854691,143.766724,113.148849,3914341
2019-07-24,143.518158,144.789673,142.638626,143.432129,112.885513,3088210
2019-07-25,143.231354,143.996170,142.074570,143.776291,113.156380,3244797
2019-07-26,144.359467,144.751434,143.499039,144.703629,113.886215,3037898
2019-07-29,144.464630,144.818359,143.709366,144.244736,113.525070,2170973
2019-07-30,143.403442,143.785858,142.657745,143.183563,112.689873,2753804
2019-07-31,143.116638,143.575531,139.952194,141.720840,111.538673,3894153
2019-08-01,142.351822,146.099426,141.969406,143.709366,113.103699,6635824
2019-08-02,142.476105,146.223709,139.187378,140.774384,110.793800,8474378
2019-08-05,138.604202,138.718933,133.030594,134.569794,105.910561,7442185
2019-08-06,135.783936,136.204590,133.183563,134.541107,105.888008,5303952
2019-08-07,132.638626,133.441681,130.411087,132.992355,104.669098,6204767
2019-08-08,132.361374,134.244736,131.701721,133.938812,106.656036,5503111
2019-08-09,133.145309,133.183563,129.397705,130.143402,103.633728,5485852
2019-08-12,129.694077,129.894836,127.323135,127.791588,101.760979,4271759
2019-08-13,127.915871,130.564056,126.969406,129.818359,103.374901,4730117
2019-08-14,128.021027,128.260040,125.219887,125.478012,99.918648,5349453
2019-08-15,125.449333,126.548759,124.521988,126.118546,100.428711,3910889
2019-08-16,127.189293,128.671127,127.103249,127.877632,101.829506,3150552
2019-08-19,128.948380,130.334610,128.948380,129.101334,102.803940,3310695
2019-08-20,129.292542,129.330780,126.969406,127.151054,101.250908,3157456
2019-08-21,129.024857,129.961761,127.915871,128.346085,102.202530,2934762
2019-08-22,128.766724,129.713196,127.925430,128.412994,102.255798,2818865
2019-08-23,127.753349,128.355637,123.164436,123.871895,98.639702,5040046
2019-08-26,125.286804,125.525810,123.479927,124.273422,98.959457,2964259
2019-08-27,125.430206,125.908218,124.579353,125.401527,99.857750,4945488
2019-08-28,124.703636,127.045891,124.321220,126.921608,101.068207,2838426
2019-08-29,128.279160,129.722748,128.145309,128.948380,102.682129,3108503
2019-08-30,129.617584,130.086044,128.451248,129.569794,103.176971,3096788
2019-09-03,128.919693,128.967499,127.466537,128.202682,102.088341,2957983
2019-09-04,129.741867,130.430206,129.206497,130.325043,103.778374,2351303
2019-09-05,132.217972,135.468445,131.978973,134.770554,107.318344,5242134
2019-09-06,135.296371,135.305923,134.282990,134.388138,107.013824,2695333
2019-09-09,134.407272,136.730408,134.282990,136.328873,108.559242,4421024
2019-09-10,136.711288,139.063095,136.673035,138.671127,110.424400,5208766
2019-09-11,138.479919,138.738052,136.434036,137.284897,109.320526,4047706
2019-09-12,137.695984,137.705551,135.640533,137.304016,109.335747,2620648
2019-09-13,137.973236,138.288712,136.959854,137.351822,109.373810,2308104
2019-09-16,136.290634,137.323135,136.013382,136.214142,108.467896,2017211
2019-09-17,136.214142,136.214142,134.474182,135.946457,108.254715,3068127
2019-09-18,135.803055,136.042068,134.330780,135.965576,108.269966,2074846
2019-09-19,136.195023,138.652008,136.185471,136.682602,108.840942,3232035
2019-09-20,136.950287,137.504776,135.583176,135.640533,108.011131,5432296
2019-09-23,134.980881,135.965576,134.378586,135.822174,108.155777,1901523
2019-09-24,136.233276,136.606125,134.866150,135.449326,107.858849,3380254
2019-09-25,135.506699,137.313583,134.665390,136.864243,108.985573,2642928
2019-09-26,136.873810,137.552582,135.191208,137.237091,109.282471,2416051
2019-09-27,138.059280,138.709366,136.118546,136.940720,109.046463,2465213
2019-09-30,137.409180,140.124283,137.409180,139.024857,110.706093,4171866
2019-10-01,139.187378,140.869980,137.227539,137.342255,109.366203,3096997
2019-10-02,135.936905,136.013382,134.388138,135.458893,107.866493,3494477
2019-10-03,135.391968,135.822174,133.059280,135.774384,108.117699,3063525
2019-10-04,135.812622,136.768646,134.827911,136.701721,108.856155,2524626
2019-10-07,136.003830,136.424469,135.009567,135.066925,107.554359,2538119
2019-10-08,134.072662,134.292542,132.170166,132.294449,105.346619,3373768
2019-10-09,133.623322,134.158707,132.686417,133.527725,106.328682,2741357
2019-10-10,133.623322,135.544937,133.422562,134.923523,107.440163,2713010
2019-10-11,136.491394,138.145309,136.338425,136.481842,108.681046,3134653
2019-10-14,136.051620,136.166351,135.105164,135.793503,108.132935,2415737
2019-10-15,136.271515,137.399612,135.573608,136.711288,108.863777,3164673
2019-10-16,136.223709,136.663483,135.172089,135.860428,108.186234,5577900
2019-10-17,129.063095,130.019119,127.065010,128.355637,102.210136,16484751
2019-10-18,128.317398,128.575531,126.434036,128.193115,102.080719,7507665
2019-10-21,126.778206,127.246651,125.143402,126.749519,100.931175,6596181
2019-10-22,126.720840,128.154877,125.822182,128.068832,101.981750,4353034
2019-10-23,127.648186,128.652008,126.864243,128.470367,102.301483,3777001
2019-10-24,128.900574,129.130020,127.437859,128.173996,102.065483,2718031
2019-10-25,128.221802,129.952194,128.202682,129.483749,103.108444,2697739
2019-10-28,130.019119,130.621414,129.493301,129.990433,103.511917,3374501
2019-10-29,129.464630,129.608032,127.571701,127.934990,101.875153,4352092
2019-10-30,127.944550,129.330780,127.342255,129.302109,102.963806,2356638
2019-10-31,129.168259,129.302109,127.370934,127.848946,101.806656,3569057
2019-11-01,128.585083,129.598465,128.193115,129.569794,103.176971,3231931
2019-11-04,130.248566,131.682602,130.238998,131.615677,104.806107,3488828
2019-11-05,131.739960,132.657745,131.577438,131.826004,104.973587,3153690
2019-11-06,131.931168,132.676865,131.500961,132.676865,105.651146,4683256
2019-11-07,131.806885,133.021027,131.529633,131.634796,106.059372,4261195
2019-11-08,131.529633,131.558319,130.172089,131.558319,105.997749,2383206
2019-11-11,131.166351,131.166351,129.063095,129.512421,104.349358,2686128
2019-11-12,129.894836,130.650101,129.082214,129.627151,104.441826,3186639
2019-11-13,129.435944,129.617584,127.963669,128.565964,103.586807,3052646
2019-11-14,128.231354,128.422562,127.466537,128.107071,103.217079,4425940
2019-11-15,128.479919,129.177826,128.135757,128.489487,103.525192,3412575
2019-11-18,128.393875,128.565964,127.370934,128.403442,103.455856,3358078
2019-11-19,128.948380,129.426392,128.546844,128.604202,103.617607,3132770
2019-11-20,128.164429,128.546844,126.912048,127.342255,102.600845,4328557
2019-11-21,127.533463,128.269592,127.131927,127.954109,103.093826,3499184
2019-11-22,128.288712,128.728485,127.715103,128.432129,103.478966,3449185
2019-11-25,128.556412,130.019119,128.441681,129.990433,104.734512,2709245
2019-11-26,130.162521,130.162521,128.843216,129.149139,104.056664,3967687
2019-11-27,129.397705,129.741867,127.743790,127.887192,103.039902,3431821
2019-11-29,127.724663,128.604202,127.179733,128.537292,103.563713,1909264
2019-12-02,128.537292,128.585083,126.653923,127.065010,102.377449,3208187
2019-12-03,126.195030,126.615677,124.942642,126.309753,101.768951,3810055
2019-12-04,127.017204,127.801147,126.156792,126.185471,101.668800,3692380
2019-12-05,127.141495,127.380501,125.841301,126.108986,101.607178,3760788
2019-12-06,126.912048,128.001907,126.864243,127.361374,102.616241,3595625
2019-12-09,127.485657,128.671127,127.399620,128.030594,103.155449,3105051
2019-12-10,128.030594,128.910141,127.686424,128.021027,103.147728,3640498
2019-12-11,128.212234,128.594650,127.791588,127.877632,103.032196,4135152
2019-12-12,127.820267,129.694077,127.782028,129.369019,104.233826,5046009
2019-12-13,128.824097,129.541107,128.116638,128.307846,103.378830,2651610
2019-12-16,129.005737,129.493301,127.963669,128.231354,103.317184,3189463
2019-12-17,128.374756,128.766724,127.590820,128.317398,103.386513,3040931
2019-12-18,128.632889,129.063095,128.250473,128.499039,103.532883,3244483
2019-12-19,128.546844,128.804977,128.288712,128.642441,103.648407,4044359
2019-12-20,129.770554,130.420654,129.015289,129.627151,104.441826,7438943
2019-12-23,129.808792,130.162521,129.063095,129.588913,104.410988,2932147
2019-12-24,129.646271,129.655838,128.690247,129.043976,103.971939,1257397
2019-12-26,129.043976,129.359467,128.728485,128.977051,103.918007,2227666
2019-12-27,129.063095,129.780121,128.938812,129.321228,104.195313,2878801
2019-12-30,129.254303,129.349899,126.673042,126.969406,102.300453,4308369
2019-12-31,126.701721,128.221802,126.577438,128.145309,103.247871,3951265
2020-01-02,129.063095,129.942642,128.843216,129.464630,104.310867,3293436
2020-01-03,127.695984,128.929260,127.686424,128.432129,103.478966,2482890
2020-01-06,127.552582,128.336517,127.342255,128.202682,103.294098,2537073
2020-01-07,127.810707,129.024857,127.533463,128.288712,103.363403,3232977
2020-01-08,128.594650,129.885284,128.030594,129.359467,104.226135,4545916
2020-01-09,129.770554,130.774384,129.359467,130.726578,105.327629,3902208
2020-01-10,130.975143,131.806885,130.315491,130.678772,105.289108,3405148
2020-01-13,129.521988,130.630981,129.130020,130.592728,105.219780,3693426
2020-01-14,130.286804,131.108994,129.588913,129.847031,104.618980,3850326
2020-01-15,130.019119,131.988525,129.741867,130.611862,105.235199,4232011
2020-01-16,131.281067,132.112808,130.984711,131.912048,106.282753,4519661
2020-01-17,130.535370,132.246658,130.172089,132.227539,106.536980,5881972
2020-01-21,131.749527,133.221802,131.548752,133.049713,107.199387,7577329
